                                   ВХОДЯЩЕЕ САЛЬДО                                 ОБОРОТЫ                        ИСХОДЯЩЕЕ САЛЬДО
      Б/сч               Актив              Пассив               Дебет              Кредит               Актив              Пассив
      1010       74975624165,88                 0,00    15640681705689,37    14312543941883,59     1403113387971,67                 0,00
      1011       58496794456,71                 0,00      689834244241,75    34144530376696,70   -33396199337998,24                 0,00
      1020       16521001749,35                 0,00      654759955289,74     3865541431398,25    -3194260474359,15                 0,00
      1030       20431402379,55                 0,00     9951931131495,57     5748850039946,01     4223512493929,11                 0,00
      1040      115251239713,38                 0,00     9668096244082,00     9866340607336,70      -82993123541,33                 0,00
      1050                 0,00                 0,00     1760172889001,32     8833195080781,04                 0,00                 0,00
      1051                 0,00                 0,00         330835936,60         196181767,42                 0,00                 0,00
      1060       78995478914,81                 0,00    22226269707237,76    21899749288825,54      405515897327,02                 0,00
      1080       33853967255,37                 0,00    47740325226371,30    58247261198579,52   -10473082004952,85                 0,00
      1090           8926851,37                 0,00         424384709,55          57662361,02         375649199,91                 0,00
      1091                 0,00                 0,00         119441980,71         219218161,52                 0,00                 0,00
        10      398534435486,43                 0,00   108332945766035,69   156918485027737,34   -41114017512423,85                 0,00 
 По классу     398534435486,43                 0,00   108332945766035,69   156918485027737,34   -41114017512423,85                 0,00 
    Баланс     398534435486,43                 0,00   108332945766035,69   156918485027737,34   -41114017512423,85                 0,00 
